userId,movieId,rating,timestamp
103,202,4.5,1324154765
436,384,3.0,1293785662
861,428,3.0,1259616674
271,158,4.0,1254679184
107,233,4.0,1285965194
72,115,3.0,1243730501
701,225,3.5,1270234185
21,45,3.0,1287997911
615,217,4.0,1380803488
122,487,4.0,1371869052
467,118,3.0,1351367429
215,316,3.5,1272907277
331,372,4.0,1399296582
459,309,3.5,1320210982
88,359,4.0,1316002035
373,281,2.5,1273409749
100,102,1.0,1298492572
872,460,1.5,1310302241
664,132,5.0,1372035408
131,348,2.0,1276319961
662,212,3.5,1384475310
309,202,4.5,1371373753
770,287,4.5,1380380247
344,147,3.0,1271216935
492,258,4.0,1365504826
414,260,4.0,1360121992
806,335,5.0,1270624868
386,294,5.0,1243049789
192,33,3.5,1295937142
956,18,4.0,1327339194
277,360,4.5,1264918475
161,160,4.0,1304855411
460,480,3.0,1318316925
314,461,5.0,1243193057
22,115,5.0,1331972903
253,208,5.0,1259777669
748,161,3.0,1281346832
857,290,3.0,1325812909
561,307,3.5,1343540137
475,319,4.5,1348936162
59,462,3.0,1369791696
511,47,3.5,1252712866
682,450,2.5,1349151764
476,397,4.0,1324347518
700,52,4.0,1303603272
976,349,3.5,1326603361
783,52,4.0,1251931576
190,171,4.0,1372306184
958,106,5.0,1329571708
687,98,4.0,1253054215
958,445,3.0,1372709089
563,209,4.0,1244936162
876,131,1.5,1384204839
567,222,3.5,1295461891
244,452,5.0,1286098826
832,223,4.0,1281429888
505,315,5.0,1323504980
131,127,3.5,1340914687
485,438,3.5,1255823146
819,325,1.5,1306770131
647,126,3.0,1309898452
21,130,2.5,1279787969
841,196,3.5,1252567572
167,44,0.5,1376830318
274,384,3.5,1295961149
388,294,5.0,1387042886
601,188,4.0,1244837109
316,244,3.0,1312381614
14,411,3.0,1242974827
242,91,3.0,1319216955
777,382,2.0,1390313950
346,15,5.0,1346589246
565,423,4.0,1323677344
898,422,4.0,1283630116
340,182,4.0,1254862732
92,319,3.5,1294604938
367,442,4.5,1264313129
956,62,3.0,1399809096
455,78,3.5,1320134522
428,274,3.0,1275900933
509,251,5.0,1371746134
776,413,1.0,1390757432
943,71,2.0,1278218761
35,441,5.0,1381545608
206,486,4.0,1291572751
81,24,4.0,1275188529
932,294,4.5,1397715442
562,134,5.0,1375889985
872,404,5.0,1389710106
388,246,5.0,1305495516
2,426,4.5,1289832825
390,484,2.0,1362183452
566,202,4.0,1253927788
106,22,3.5,1370764001
772,161,4.5,1322621278
822,215,5.0,1341504655
477,46,3.0,1301907297
703,498,4.0,1274087387
402,438,3.0,1263932555
730,105,3.5,1385315008
556,170,4.0,1358269138
162,435,2.0,1383840899
202,452,5.0,1355597336
958,85,5.0,1265238999
996,312,5.0,1276469799
270,77,0.5,1252053214
863,42,4.5,1279266795
816,13,5.0,1385907416
271,310,5.0,1268161561
456,396,1.0,1388184265
462,472,4.0,1290218173
727,291,5.0,1258916741
252,339,4.0,1251268481
702,9,5.0,1261350089
296,13,4.0,1308806594
725,22,1.0,1399204255
720,40,5.0,1315174077
749,420,4.0,1348498936
338,373,3.0,1289225143
879,476,4.0,1349174923
53,127,4.0,1263150303
792,169,4.0,1247512285
922,263,3.5,1327390274
217,222,2.0,1319965517
764,223,5.0,1336166923
188,311,4.0,1341091598
380,459,4.0,1264085462
493,121,4.0,1339811423
41,222,4.0,1395331308
157,79,4.0,1382539805
15,397,3.0,1354884071
813,99,3.5,1359060465
65,483,4.0,1305231176
857,404,4.5,1312468739
839,235,5.0,1391839575
521,186,5.0,1251492574
344,279,1.0,1270394751
129,181,2.5,1379110663
648,293,4.0,1252080088
472,276,2.0,1287345474
63,376,5.0,1399169826
139,403,3.5,1343828821
499,236,4.0,1387881798
593,146,1.0,1267136547
392,68,3.5,1293987614
675,445,3.0,1245636195
419,456,2.0,1303325849
289,302,4.0,1264479140
379,478,5.0,1291254609
773,176,3.0,1388182730
490,20,5.0,1398234714
231,72,0.5,1269063843
41,453,4.0,1277824737
28,105,4.0,1379596543
135,418,3.0,1284157612
201,360,3.5,1365866396
840,7,4.0,1254548759
780,306,4.0,1370727476
930,53,4.0,1318960210
33,470,5.0,1290382617
48,329,4.0,1328074629
503,267,2.5,1364275691
407,204,5.0,1307018495
574,392,3.5,1262959249
728,32,0.5,1289739063
805,191,4.5,1390640144
99,183,3.0,1346040427
684,187,5.0,1338221529
872,319,4.0,1268662488
726,401,3.0,1329403013
987,154,4.0,1287457471
547,51,3.0,1261116788
961,289,1.0,1341169355
739,26,2.0,1261103514
613,278,4.0,1393745007
943,451,3.0,1276498620
462,351,3.0,1303429683
643,334,2.5,1333905532
769,210,3.0,1351468394
5,253,4.0,1358080234
218,482,4.0,1296497723
503,360,3.0,1270817457
767,191,3.0,1353151653
398,145,3.0,1247912242
871,41,5.0,1350310331
795,76,2.5,1338939279
393,295,4.5,1302686583
207,161,5.0,1270979309
15,288,5.0,1272576703
858,149,4.0,1290842275
554,437,2.0,1251434082
892,192,1.0,1262823834
461,334,3.5,1354392223
691,66,3.0,1381758135
575,177,5.0,1360299629
864,327,4.0,1393882418
743,463,4.5,1324749233
241,31,4.0,1349782857
564,348,3.0,1334615556
96,425,3.0,1244217758
900,456,3.5,1336877893
734,199,1.0,1325167035
485,420,3.5,1313581956
407,74,3.0,1320553894
231,423,1.0,1333335317
749,111,3.5,1288810592
655,382,4.0,1324586396
171,94,2.0,1279314370
541,365,4.0,1349961454
36,360,5.0,1351322954
525,169,3.0,1343759379
160,297,5.0,1368585095
839,261,4.5,1284287477
699,213,0.5,1261350026
243,262,5.0,1393896996
86,318,4.0,1281650044
796,272,4.0,1308929756
578,208,4.0,1260176660
682,344,3.5,1366141184
557,366,3.5,1379841960
574,403,4.0,1335832487
953,83,5.0,1251147169
646,240,3.0,1264533616
796,123,5.0,1277887173
28,165,5.0,1370778091
620,64,3.5,1250886114
556,443,3.0,1346465335
340,97,3.5,1295224452
798,69,2.0,1272073195
958,201,4.5,1336621538
331,469,3.0,1375259391
640,135,3.0,1391954952
506,298,4.0,1299520235
348,409,4.0,1269883916
473,312,4.0,1399837941
231,431,3.5,1291165033
190,341,3.5,1390446097
225,364,3.0,1350229596
385,461,3.0,1320684756
377,434,5.0,1256315040
283,341,3.5,1287198884
958,458,4.0,1252017898
633,472,3.5,1382267996
628,91,4.0,1331754543
973,289,2.5,1300644892
745,282,1.5,1296524359
259,484,5.0,1324567643
359,273,4.0,1387695058
710,21,4.0,1398120594
456,493,3.5,1374629461
411,2,1.5,1246516367
649,79,4.0,1363938870
318,44,4.0,1265545554
677,194,2.5,1285882284
225,71,4.0,1249786770
819,36,3.0,1302801250
234,46,4.0,1268307350
684,434,4.0,1314063766
664,235,3.0,1265622150
975,224,2.0,1343176879
827,67,4.5,1290788758
374,259,4.0,1305074290
672,498,4.0,1385405764
608,119,4.0,1244567462
472,417,4.0,1277986745
233,45,3.0,1358655023
692,25,3.5,1254091881
113,165,3.0,1380129183
830,164,2.0,1362894012
497,291,5.0,1253448420
442,275,1.0,1332252789
564,45,1.0,1393200888
268,368,3.0,1290094259
510,211,3.0,1365847210
807,225,1.0,1319427962
386,146,4.0,1314800341
387,411,2.0,1349035858
113,350,2.0,1282598107
613,287,2.0,1281969152
625,423,4.0,1374920748
952,323,2.5,1322342225
81,406,4.0,1287677744
699,436,3.0,1322166426
113,10,4.5,1364124008
2,373,3.0,1320739285
642,8,3.5,1265844541
220,34,4.0,1397981991
566,234,5.0,1268962642
855,181,3.0,1323559330
997,402,4.0,1372042516
736,12,1.0,1348212024
225,238,4.5,1246969281
385,192,4.0,1302259471
403,441,5.0,1290269332
638,352,4.5,1308802258
130,386,3.5,1291690709
53,273,3.5,1342046847
684,436,0.5,1293644023
730,332,4.5,1379742206
672,327,4.5,1256770553
710,335,4.0,1286243098
416,2,3.0,1398269377
247,27,4.5,1388648926
836,410,4.0,1277557028
439,153,3.0,1318054557
203,140,3.0,1379079568
184,401,4.0,1299671422
123,193,4.0,1284040849
401,95,2.0,1335386421
767,168,4.5,1385658131
294,5,3.5,1366207888
280,220,3.0,1281183607
837,28,4.0,1337836849
884,249,5.0,1284332431
610,72,1.5,1391938023
198,308,3.0,1296558401
982,398,4.0,1359480308
907,134,0.5,1339845379
511,274,3.0,1392849182
752,293,3.0,1262400292
144,458,5.0,1246808841
609,192,4.0,1383645479
201,495,4.0,1312688025
124,355,0.5,1326994135
187,35,3.5,1327369649
326,126,3.5,1259026734
464,17,4.5,1371464241
349,110,3.0,1280808622
771,475,2.0,1373653500
660,88,4.5,1287850848
764,10,3.0,1336622996
955,51,4.0,1361654581
932,112,2.0,1392999755
403,337,4.0,1254069847
346,52,3.5,1254962034
963,237,5.0,1338472189
511,320,3.0,1298467662
147,289,2.0,1368856070
148,97,4.0,1293381159
864,273,5.0,1275673669
711,466,3.0,1317512431
820,380,4.5,1375650265
489,177,3.0,1247798208
929,364,2.0,1328248312
936,230,4.0,1247617080
640,127,4.0,1342107816
551,263,4.5,1333555017
338,497,2.0,1301751694
872,474,4.0,1334000026
641,368,4.0,1348257444
